ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL202023 - 1020 18h,14.1,-58.9,287.98,-7.4,65,991,20,14.5,-59.6,70,991,15
AL202023 - 1021 00h,14.5,-59.6,292.8,-7.4,70,991,15,14.9,-60.3,70,991,15
AL202023 - 1021 06h,14.9,-60.3,292.42,-7.2,70,991,15,15.6,-60.6,75,987,10
AL202023 - 1021 12h,15.6,-60.6,293.01,-7.2,75,987,10,16.6,-61.0,75,987,10
AL202023 - 1021 18h,16.6,-61.0,293.81,-6.9,75,987,10,17.5,-61.7,80,987,10
AL202023 - 1022 00h,17.5,-61.7,295.3,-7.2,80,987,10,17.6,-61.8,80,987,10
AL202023 - 1022 01h,17.6,-61.8,295.3,-7.2,80,987,10,18.0,-62.2,75,989,10
AL202023 - 1022 06h,18.0,-62.2,295.3,-7.2,75,989,10,18.7,-62.8,75,990,10
AL202023 - 1022 12h,18.7,-62.8,291.17,-6.6,75,990,10,19.4,-63.4,75,990,10
AL202023 - 1022 18h,19.4,-63.4,291.17,-6.6,75,990,10,20.2,-63.9,75,992,10
AL202023 - 1023 00h,20.2,-63.9,282.88,6.6,75,992,10,21.0,-64.0,70,993,20
AL202023 - 1023 06h,21.0,-64.0,298.12,-3.5,70,993,20,21.6,-64.0,70,993,20
AL202023 - 1023 12h,21.6,-64.0,297.44,-6.1,70,993,20,22.1,-63.8,65,988,20
AL202023 - 1023 18h,22.1,-63.8,297.44,-6.1,65,988,20,22.6,-63.5,65,987,20
AL202023 - 1024 00h,22.6,-63.5,297.71,-3.4,65,987,20,23.1,-63.1,65,987,20
AL202023 - 1024 06h,23.1,-63.1,295.76,-5.1,65,987,20,23.6,-62.6,65,987,20
AL202023 - 1024 12h,23.6,-62.6,295.75,-5.1,65,987,20,24.0,-62.0,65,987,20
AL202023 - 1024 18h,24.0,-62.0,295.99,-5.1,65,987,20,24.5,-61.2,75,976,20
AL202023 - 1025 00h,24.5,-61.2,300.3,-0.6,75,976,20,25.1,-60.4,85,969,20
AL202023 - 1025 06h,25.1,-60.4,299.26,-1.8,85,969,20,26.1,-59.4,95,965,20
AL202023 - 1025 12h,26.1,-59.4,289.05,-12.0,95,965,20,27.5,-58.3,85,968,20
AL202023 - 1025 18h,27.5,-58.3,289.85,-4.9,85,968,20,29.1,-57.8,80,970,20
AL202023 - 1026 00h,29.1,-57.8,294.62,-5.3,80,970,20,30.0,-58.3,75,972,20
AL202023 - 1026 06h,30.0,-58.3,295.13,-3.8,75,972,20,30.5,-58.8,70,975,20
AL202023 - 1026 12h,30.5,-58.8,291.08,-7.5,70,975,20,31.0,-59.5,65,977,50
AL202023 - 1026 18h,31.0,-59.5,293.84,-4.6,65,977,50,31.5,-60.1,60,980,50
AL202023 - 1027 00h,31.5,-60.1,291.64,-6.0,60,980,50,31.8,-60.6,55,985,40
AL202023 - 1027 06h,31.8,-60.6,295.58,-1.8,55,985,40,32.0,-61.0,55,988,40
AL202023 - 1027 12h,32.0,-61.0,295.58,-1.8,55,988,40,32.3,-61.4,55,988,40
AL202023 - 1027 18h,32.3,-61.4,295.58,-1.8,55,988,40,32.6,-61.5,50,991,40
AL202023 - 1028 00h,32.6,-61.5,297.76,0.5,50,991,40,32.9,-61.0,45,994,40
AL202023 - 1028 06h,32.9,-61.0,291.78,-5.5,45,994,40,33.1,-59.5,45,995,40
AL202023 - 1028 12h,33.1,-59.5,297.14,-0.3,45,995,40,33.3,-58.0,40,997,40
AL202023 - 1028 18h,33.3,-58.0,297.29,-0.5,40,997,40,32.8,-56.1,35,1000,50
AL202023 - 1029 00h,32.8,-56.1,297.85,0.0,35,1000,50,32.6,-54.3,35,1002,50
AL202023 - 1029 06h,32.6,-54.3,298.07,-0.4,35,1002,50,31.8,-52.5,35,1002,50
AL202023 - 1029 12h,31.8,-52.5,294.93,-4.1,35,1002,50,30.9,-50.9,35,1002,50
AL202023 - 1029 18h,30.9,-50.9,296.59,-2.9,35,1002,50,29.6,-49.6,30,1004,50
AL202023 - 1030 00h,29.6,-49.6,295.58,-4.8,30,1004,50,28.5,-49.0,30,1005,50
AL202023 - 1030 06h,28.5,-49.0,291.7,-9.2,30,1005,50,27.5,-48.5,30,1005,50
AL202023 - 1030 12h,27.5,-48.5,296.64,-4.3,30,1005,50,26.5,-48.1,25,1006,50
AL202023 - 1030 18h,26.5,-48.1,299.41,-1.8,25,1006,50,25.6,-48.5,25,1006,50
AL202023 - 1031 00h,25.6,-48.5,291.73,-9.4,25,1006,50,25.1,-49.0,25,1007,50
AL202023 - 1031 06h,25.1,-49.0,301.62,0.1,25,1007,50,24.9,-49.9,20,1008,50
AL202023 - 1031 12h,24.9,-49.9,300.8,-0.5,20,1008,50,24.6,-50.6,20,1008,50
