ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL132023 - 0915 00h,32.1,-67.8,298.1,-0.3,75,955,60,33.6,-67.6,75,957,60
AL132023 - 0915 06h,33.6,-67.6,298.27,-0.8,75,957,60,35.1,-67.1,75,962,60
AL132023 - 0915 12h,35.1,-67.1,298.64,0.1,75,962,60,37.1,-66.7,75,962,75
AL132023 - 0915 18h,37.1,-66.7,280.3,6.2,75,962,75,38.7,-65.9,75,963,90
AL132023 - 0916 00h,38.7,-65.9,287.3,-8.2,75,963,90,40.9,-66.0,70,965,100
AL132023 - 0916 06h,40.9,-66.0,282.6,5.2,70,965,100,42.7,-66.3,65,965,100
AL132023 - 0916 12h,42.7,-66.3,275.55,-10.9,65,965,100,43.8,-66.4,55,968,100
AL142023 - 0907 12h,15.5,-26.0,296.13,-4.9,30,1006,20,16.0,-27.3,35,1005,20
AL142023 - 0907 18h,16.0,-27.3,296.47,-5.9,35,1005,20,16.5,-28.6,35,1005,20
AL142023 - 0908 00h,16.5,-28.6,300.31,-1.4,35,1005,20,17.1,-30.1,35,1005,20
AL142023 - 0908 06h,17.1,-30.1,278.1,1.9,35,1005,20,17.8,-31.8,35,1005,20
AL142023 - 0908 12h,17.8,-31.8,300.36,-1.3,35,1005,20,18.5,-33.6,35,1005,20
AL142023 - 0908 18h,18.5,-33.6,295.84,-5.5,35,1005,20,19.1,-35.1,35,1005,20
AL142023 - 0909 00h,19.1,-35.1,294.61,-5.8,35,1005,20,19.7,-36.4,40,1004,20
AL142023 - 0909 06h,19.7,-36.4,292.89,-5.7,40,1004,20,20.2,-37.5,40,1004,20
AL142023 - 0909 12h,20.2,-37.5,288.01,-5.8,40,1004,20,20.7,-38.3,40,1004,20
AL142023 - 0909 18h,20.7,-38.3,293.21,-5.8,40,1004,20,21.2,-38.9,45,1003,20
AL142023 - 0910 00h,21.2,-38.9,301.22,-0.2,45,1003,20,21.8,-39.4,45,1002,20
AL142023 - 0910 06h,21.8,-39.4,299.43,-1.8,45,1002,20,22.5,-39.8,45,1000,20
AL142023 - 0910 12h,22.5,-39.8,300.65,-0.6,45,1000,20,23.3,-40.0,50,998,20
AL142023 - 0910 18h,23.3,-40.0,295.09,-5.6,50,998,20,24.0,-40.0,55,996,20
AL142023 - 0911 00h,24.0,-40.0,300.7,-0.3,55,996,20,24.7,-40.0,55,993,15
AL142023 - 0911 06h,24.7,-40.0,289.05,-11.8,55,993,15,25.5,-40.0,60,990,15
AL142023 - 0911 12h,25.5,-40.0,296.33,-5.3,60,990,15,26.4,-39.9,65,986,15
AL142023 - 0911 18h,26.4,-39.9,296.33,-5.3,65,986,15,27.5,-39.6,70,981,15
AL142023 - 0912 00h,27.5,-39.6,300.41,0.0,70,981,15,28.6,-39.4,75,977,10
AL142023 - 0912 06h,28.6,-39.4,297.78,-4.6,75,977,10,29.8,-39.3,75,974,10
AL142023 - 0912 12h,29.8,-39.3,294.84,-5.1,75,974,10,31.0,-39.4,75,972,10
AL142023 - 0912 18h,31.0,-39.4,295.98,-4.7,75,972,10,32.1,-39.6,75,970,10
AL142023 - 0913 00h,32.1,-39.6,283.46,-4.3,75,970,10,33.0,-39.9,80,969,10
AL142023 - 0913 06h,33.0,-39.9,283.14,-4.8,80,969,10,33.7,-40.3,80,969,10
AL142023 - 0913 12h,33.7,-40.3,283.13,-4.9,80,969,10,34.4,-40.6,75,970,10
AL142023 - 0913 18h,34.4,-40.6,285.63,-5.0,75,970,10,35.1,-40.7,75,972,10
AL142023 - 0914 00h,35.1,-40.7,273.98,0.3,75,972,10,35.8,-40.5,70,974,50
AL142023 - 0914 06h,35.8,-40.5,271.39,-3.1,70,974,50,36.3,-40.1,70,976,60
AL142023 - 0914 12h,36.3,-40.1,271.39,-3.1,70,976,60,36.6,-39.6,70,978,60
AL142023 - 0914 18h,36.6,-39.6,281.7,-3.3,70,978,60,36.7,-39.1,65,980,60
AL142023 - 0915 00h,36.7,-39.1,292.98,-2.9,65,980,60,36.7,-38.6,60,982,60
AL142023 - 0915 06h,36.7,-38.6,292.98,-2.9,60,982,60,36.5,-38.1,55,984,60
AL142023 - 0915 12h,36.5,-38.1,278.07,4.2,55,984,60,36.1,-37.8,55,986,60
AL142023 - 0915 18h,36.1,-37.8,278.07,4.2,55,986,60,35.7,-37.8,55,988,60
AL142023 - 0916 00h,35.7,-37.8,296.2,-2.2,55,988,60,35.2,-38.0,55,990,70
AL142023 - 0916 06h,35.2,-38.0,285.85,-12.4,55,990,70,34.7,-38.5,50,993,80
AL142023 - 0916 12h,34.7,-38.5,285.85,-12.4,50,993,80,34.3,-39.2,45,996,80
AL142023 - 0916 18h,34.3,-39.2,290.74,-6.9,45,996,80,34.0,-40.1,40,999,80
AL142023 - 0917 00h,34.0,-40.1,297.18,-0.4,40,999,80,34.0,-41.1,35,1001,80
AL142023 - 0917 06h,34.0,-41.1,275.55,3.1,35,1001,80,34.3,-42.0,35,1003,80
AL142023 - 0917 12h,34.3,-42.0,284.91,11.4,35,1003,80,34.7,-43.0,35,1005,80
AL142023 - 0917 18h,34.7,-43.0,289.72,-9.5,35,1005,80,35.3,-43.6,30,1006,80
AL142023 - 0918 00h,35.3,-43.6,300.3,0.4,30,1006,80,36.0,-43.8,30,1007,80
AL142023 - 0918 06h,36.0,-43.8,296.0,-3.5,30,1007,80,36.8,-43.6,30,1008,80
AL142023 - 0918 12h,36.8,-43.6,298.49,-0.6,30,1008,80,37.8,-42.7,30,1009,80
AL152023 - 0915 06h,13.6,-42.2,293.69,-8.5,30,1007,70,14.3,-43.2,30,1007,70
AL152023 - 0915 12h,14.3,-43.2,284.59,-6.4,30,1007,70,15.2,-44.0,30,1007,80
AL152023 - 0915 18h,15.2,-44.0,285.8,-6.4,30,1007,80,16.1,-44.8,30,1007,80
AL152023 - 0916 00h,16.1,-44.8,294.64,-5.3,30,1007,80,17.4,-45.4,30,1007,100
AL152023 - 0916 06h,17.4,-45.4,294.77,-7.3,30,1007,100,18.7,-46.0,30,1006,100
AL152023 - 0916 12h,18.7,-46.0,295.3,-6.2,30,1006,100,20.1,-46.7,30,1006,100
AL152023 - 0916 18h,20.1,-46.7,277.47,1.1,30,1006,100,21.4,-47.6,35,1005,80
AL152023 - 0917 00h,21.4,-47.6,272.58,-3.9,35,1005,80,22.5,-48.3,45,1001,40
AL152023 - 0917 06h,22.5,-48.3,284.9,-6.2,45,1001,40,23.5,-48.8,50,997,40
AL152023 - 0917 12h,23.5,-48.8,284.79,-6.5,50,997,40,24.5,-49.4,55,994,40
AL152023 - 0917 18h,24.5,-49.4,284.79,-6.5,55,994,40,25.3,-50.0,60,992,30
AL152023 - 0918 00h,25.3,-50.0,289.72,-6.0,60,992,30,26.0,-50.6,65,987,20
AL152023 - 0918 06h,26.0,-50.6,285.89,-6.0,65,987,20,26.8,-51.1,65,987,20
AL152023 - 0918 12h,26.8,-51.1,285.93,-6.1,65,987,20,27.5,-51.7,70,982,20
AL152023 - 0918 18h,27.5,-51.7,283.58,-5.7,70,982,20,28.2,-52.4,75,979,30
AL152023 - 0919 00h,28.2,-52.4,298.8,-1.4,75,979,30,29.0,-53.2,75,979,30
AL152023 - 0919 06h,29.0,-53.2,282.1,7.8,75,979,30,29.9,-54.0,80,975,30
AL152023 - 0919 12h,29.9,-54.0,296.75,-5.1,80,975,30,31.1,-54.7,85,972,30
AL152023 - 0919 18h,31.1,-54.7,296.98,-5.0,85,972,30,32.4,-55.0,85,971,30
AL152023 - 0920 00h,32.4,-55.0,287.56,-12.4,85,971,30,33.7,-55.2,85,971,30
AL152023 - 0920 06h,33.7,-55.2,298.75,-1.8,85,971,30,35.2,-54.7,80,972,30
AL152023 - 0920 12h,35.2,-54.7,291.88,-8.2,80,972,30,36.7,-53.6,80,972,30
AL152023 - 0920 18h,36.7,-53.6,289.39,-10.6,80,972,30,38.3,-51.6,80,973,30
AL152023 - 0921 00h,38.3,-51.6,293.47,-6.3,80,973,30,40.0,-49.2,75,975,30
AL152023 - 0921 06h,40.0,-49.2,296.59,-1.0,75,975,30,41.3,-46.3,75,975,30
AL152023 - 0921 12h,41.3,-46.3,287.27,-10.2,75,975,30,42.8,-42.8,70,975,40
AL152023 - 0921 18h,42.8,-42.8,286.61,-11.1,70,975,40,44.3,-38.7,65,975,40
AL152023 - 0922 00h,44.3,-38.7,292.86,-1.0,65,975,40,45.4,-34.3,60,974,40
AL152023 - 0922 06h,45.4,-34.3,294.18,-0.3,60,974,40,47.2,-30.2,55,972,40
AL162023 - 0921 12h,28.5,-76.0,302.29,0.4,30,1012,150,29.0,-75.6,30,1012,150
AL162023 - 0921 18h,29.0,-75.6,298.11,-5.9,30,1012,150,29.5,-75.3,35,1008,120
AL162023 - 0922 00h,29.5,-75.3,301.09,0.1,35,1008,120,30.3,-75.1,40,1002,100
AL162023 - 0922 06h,30.3,-75.1,301.09,0.1,40,1002,100,31.6,-75.5,50,996,90
AL162023 - 0922 12h,31.6,-75.5,296.52,-4.6,50,996,90,32.7,-76.1,60,989,60
AL162023 - 0922 18h,32.7,-76.1,289.4,-12.2,60,989,60,33.3,-76.6,60,983,40
AL162023 - 0923 00h,33.3,-76.6,293.02,-8.7,60,983,40,33.8,-77.1,60,981,30
AL162023 - 0923 06h,33.8,-77.1,287.17,12.7,60,981,30,34.7,-77.1,60,981,30
AL172023 - 0923 06h,15.5,-36.6,293.39,-6.0,30,1007,70,15.6,-38.0,30,1007,70
AL172023 - 0923 12h,15.6,-38.0,294.22,-6.0,30,1007,70,15.7,-39.1,35,1005,60
AL172023 - 0923 18h,15.7,-39.1,292.4,-6.1,35,1005,60,15.8,-39.8,40,1003,50
AL172023 - 0924 00h,15.8,-39.8,296.07,-6.1,40,1003,50,16.0,-40.5,45,1001,50
AL172023 - 0924 06h,16.0,-40.5,296.07,-6.1,45,1001,50,16.3,-41.3,45,1000,40
AL172023 - 0924 12h,16.3,-41.3,295.53,-6.2,45,1000,40,16.6,-42.0,45,1000,40
AL172023 - 0924 18h,16.6,-42.0,288.35,-5.9,45,1000,40,16.9,-42.9,45,1000,40
AL172023 - 0925 00h,16.9,-42.9,291.87,-5.9,45,1000,40,17.1,-43.8,50,998,30
AL172023 - 0925 06h,17.1,-43.8,296.53,-6.0,50,998,30,17.1,-44.8,50,998,30
AL172023 - 0925 12h,17.1,-44.8,297.26,-6.0,50,998,30,17.1,-46.2,45,1000,40
AL172023 - 0925 18h,17.1,-46.2,282.97,6.7,45,1000,40,17.4,-47.3,45,1001,50
AL172023 - 0926 00h,17.4,-47.3,288.37,-6.06,45,1001,50,17.5,-48.5,45,1001,50
AL172023 - 0926 06h,17.5,-48.5,292.19,-6.1,45,1001,50,17.4,-49.7,40,1003,60
AL172023 - 0926 12h,17.4,-49.7,296.36,-6.2,40,1003,60,17.1,-50.8,40,1003,70
AL172023 - 0926 18h,17.1,-50.8,296.28,-6.2,40,1003,70,17.2,-51.6,40,1003,80
AL172023 - 0927 00h,17.2,-51.6,294.63,-6.5,40,1003,80,17.4,-52.3,40,1003,80
AL172023 - 0927 06h,17.4,-52.3,294.63,-6.5,40,1003,80,17.5,-53.0,45,1000,80
AL172023 - 0927 12h,17.5,-53.0,294.2,-6.6,45,1000,80,17.8,-53.7,45,1000,80
AL172023 - 0927 18h,17.8,-53.7,295.18,-6.4,45,1000,80,18.1,-54.3,40,1002,90
AL172023 - 0928 00h,18.1,-54.3,294.77,-6.2,40,1002,90,18.5,-54.5,40,1002,90
AL172023 - 0928 06h,18.5,-54.5,294.77,-6.2,40,1002,90,18.7,-54.7,40,1002,90
AL172023 - 0928 12h,18.7,-54.7,274.39,-2.1,40,1002,90,18.6,-54.8,40,1002,90
AL172023 - 0928 18h,18.6,-54.8,274.39,-2.1,40,1002,90,18.5,-54.9,40,1002,80
AL172023 - 0929 00h,18.5,-54.9,288.8,-6.4,40,1002,80,18.4,-55.0,40,1002,80
AL172023 - 0929 06h,18.4,-55.0,288.8,-6.4,40,1002,80,18.2,-55.3,45,1002,80
AL172023 - 0929 12h,18.2,-55.3,288.8,-6.4,45,1002,80,18.0,-55.6,45,1002,80
AL172023 - 0929 18h,18.0,-55.6,279.87,3.2,45,1002,80,17.6,-55.7,45,1001,80
AL172023 - 0930 00h,17.6,-55.7,286.36,9.6,45,1001,80,17.2,-55.8,45,999,80
AL172023 - 0930 06h,17.2,-55.8,289.01,12.2,45,999,80,16.8,-56.0,45,999,80
AL172023 - 0930 12h,16.8,-56.0,289.01,12.2,45,999,80,16.4,-56.3,50,998,70
AL172023 - 0930 18h,16.4,-56.3,288.66,-7.1,50,998,70,16.1,-56.7,50,998,70
AL172023 - 1001 00h,16.1,-56.7,289.27,-7.08,50,998,70,16.0,-57.5,50,999,70
AL172023 - 1001 06h,16.0,-57.5,295.67,-7.2,50,999,70,16.0,-58.4,45,1001,70
AL172023 - 1001 12h,16.0,-58.4,295.67,-7.2,45,1001,70,16.2,-58.8,45,1001,70
AL172023 - 1001 18h,16.2,-58.8,295.76,-7.1,45,1001,70,16.5,-59.0,45,999,70
AL172023 - 1002 00h,16.5,-59.0,296.15,-7.2,45,999,70,16.8,-59.7,45,999,70
AL172023 - 1002 06h,16.8,-59.7,294.89,-7.4,45,999,70,16.9,-60.5,45,1000,70
AL172023 - 1002 12h,16.9,-60.5,294.89,-7.4,45,1000,70,17.3,-61.2,45,1001,70
AL172023 - 1002 18h,17.3,-61.2,296.01,-7.4,45,1001,70,17.6,-61.8,45,1001,70
AL172023 - 1002 22h,17.6,-61.8,298.73,-4.2,45,1001,70,17.6,-61.9,45,1001,80
AL172023 - 1003 00h,17.6,-61.9,296.08,-3.1,45,1001,80,18.1,-62.7,45,1001,80
AL172023 - 1003 06h,18.1,-62.7,296.08,-3.1,45,1001,80,18.6,-63.6,40,1003,90
AL172023 - 1003 12h,18.6,-63.6,295.08,-2.97,40,1003,90,19.1,-64.5,40,1004,90
AL172023 - 1005 00h,23.1,-66.0,293.1,-9.1,35,1004,100,24.0,-66.2,40,1004,90
AL172023 - 1005 06h,24.0,-66.2,290.95,-6.2,40,1004,90,25.1,-66.3,45,1004,80
AL172023 - 1005 12h,25.1,-66.3,291.49,-6.0,45,1004,80,26.4,-66.1,45,1004,80
AL172023 - 1005 18h,26.4,-66.1,291.04,-5.7,45,1004,80,27.6,-66.0,45,1004,90
AL172023 - 1006 00h,27.6,-66.0,300.91,0.2,45,1004,90,28.7,-65.5,45,1003,100
